age,female,hisp,education,earnings,hours,week,union,uncov,region,race,marital
52,0,0,12,14.6,45,52,0,0,1,1,1
38,0,0,18,5,45,52,0,0,1,1,1
38,0,0,,3.2,40,51,0,0,1,1,1
41,1,0,13,4.7,40,52,0,0,1,1,1
42,0,0,13,16.1525,50,52,1,0,1,1,1
66,1,0,,3.3,40,52,0,0,1,1,5
51,0,0,16,3.7,44,52,0,0,1,1,1
49,1,0,16,3.7,44,52,0,0,1,1,1
33,0,0,16,8,40,52,0,0,1,1,1
52,1,0,14,3.2,40,52,0,0,1,1,1
55,0,0,14,4.6,40,52,0,0,1,1,5
51,0,0,12,6.2,40,52,0,0,1,1,5
52,0,0,11,3.3,45,52,0,0,1,1,1
44,0,0,13,2.604,40,52,0,0,1,1,1
59,0,0,16,3.5,60,52,1,0,1,1,1
35,1,0,14,4.8,36,52,1,0,1,1,1
31,0,0,16,2.6,40,52,0,0,1,1,1
66,1,0,13,3.2,40,52,0,0,1,1,1
44,0,0,14,8,40,52,0,0,1,1,1
41,1,0,14,5,40,52,0,0,1,1,1
46,0,0,16,8,45,52,0,0,1,1,1
45,1,0,14,9,45,52,0,0,1,1,1
24,0,0,13,2.4,45,52,0,0,1,1,7
59,1,0,12,3,40,52,0,0,1,1,7
57,0,0,12,3.2,40,52,0,0,1,1,1
33,1,0,14,7.1,40,52,0,0,1,1,1
41,1,0,14,2.25,40,52,0,0,1,1,1
44,0,0,12,2.1,40,52,0,0,1,1,1
39,0,0,20,4.7,40,52,0,0,1,1,1
52,0,0,14,2.6,40,52,0,0,1,1,1
34,1,0,13,1.924,37,52,0,0,1,1,1
37,0,0,13,2.184,40,52,0,0,1,1,1
37,1,0,13,3.4843,45,52,0,0,1,1,1
42,1,0,12,2.1,36,52,0,0,1,1,2
43,0,0,12,5,40,52,0,0,1,1,1
64,1,0,12,2.4176,40,52,0,0,1,7,5
51,0,0,18,5.0475,45,52,0,0,1,1,1
49,1,0,16,4.4,40,52,0,0,1,1,4
50,1,0,12,3.9643,40,52,0,0,1,1,5
50,1,0,16,4.9,40,52,0,0,1,1,1
41,0,0,18,5.6,55,52,0,0,1,1,1
21,0,0,12,5.2,40,52,0,0,1,1,7
